"Date","Time","Longitude","Latitude"
"27/03/2020","12:06:09.00",-38.0653169,-54.009239
"27/03/2020","12:06:10.00",-38.0653169,-54.009239
"27/03/2020","12:06:11.00",-38.0653169,-54.009239
"27/03/2020","12:06:12.00",-38.0653169,-54.009239
"27/03/2020","12:06:13.00",-38.0653169,-54.009239
"27/03/2020","12:06:14.00",-38.0653169,-54.009239
"27/03/2020","12:06:15.00",-38.065317,-54.009239
"27/03/2020","12:06:16.00",-38.065317,-54.009239
"27/03/2020","12:06:17.00",-38.065317,-54.009239
"27/03/2020","12:06:18.00",-38.065317,-54.009239
"27/03/2020","12:06:19.00",-38.065317,-54.009239
"27/03/2020","12:06:20.00",-38.065317,-54.009239
"27/03/2020","12:06:21.00",-38.065317,-54.009239
"27/03/2020","12:06:22.00",-38.065317,-54.009239
"27/03/2020","12:06:23.00",-38.065317,-54.009239
"27/03/2020","12:06:24.00",-38.065317,-54.009239
"27/03/2020","12:06:25.00",-38.065317,-54.009239
"27/03/2020","12:06:26.00",-38.065317,-54.009239
"27/03/2020","12:06:27.00",-38.065317,-54.009239
"27/03/2020","12:06:28.00",-38.065317,-54.009239
"27/03/2020","12:06:29.00",-38.065317,-54.009239
"27/03/2020","12:06:30.00",-38.065317,-54.009239
"27/03/2020","12:06:31.00",-38.065317,-54.009239
"27/03/2020","12:06:32.00",-38.065317,-54.009239
"27/03/2020","12:06:33.00",-38.065317,-54.009239
"27/03/2020","12:06:34.00",-38.065317,-54.009239
"27/03/2020","12:06:35.00",-38.065317,-54.009239
"27/03/2020","12:06:36.00",-38.065317,-54.009239
"27/03/2020","12:06:37.00",-38.065317,-54.009239
"27/03/2020","12:06:38.00",-38.065317,-54.009239
"27/03/2020","12:06:39.00",-38.065317,-54.009239
"27/03/2020","12:06:40.00",-38.065317,-54.009239
"27/03/2020","12:06:41.00",-38.065317,-54.009239
"27/03/2020","12:06:42.00",-38.065317,-54.009239
"27/03/2020","12:06:43.00",-38.065317,-54.009239
"27/03/2020","12:06:44.00",-38.065317,-54.009239
"27/03/2020","12:06:45.00",-38.0653171,-54.009239
"27/03/2020","12:06:46.00",-38.0653171,-54.009239
"27/03/2020","12:06:47.00",-38.0653171,-54.009239
"27/03/2020","12:06:48.00",-38.0653171,-54.009239
"27/03/2020","12:06:49.00",-38.0653171,-54.009239
"27/03/2020","12:06:50.00",-38.0653171,-54.009239
"27/03/2020","12:06:51.00",-38.0653171,-54.009239
"27/03/2020","12:06:52.00",-38.0653171,-54.009239
"27/03/2020","12:06:53.00",-38.0653171,-54.009239
"27/03/2020","12:06:54.00",-38.0653171,-54.009239
"27/03/2020","12:06:55.00",-38.0653171,-54.009239
"27/03/2020","12:06:56.00",-38.0653171,-54.009239
"27/03/2020","12:06:57.00",-38.0653171,-54.009239
"27/03/2020","12:06:58.00",-38.0653171,-54.009239
"27/03/2020","12:06:59.00",-38.0653171,-54.009239
"27/03/2020","12:07:00.00",-38.0653171,-54.009239
"27/03/2020","12:07:01.00",-38.0653171,-54.009239
"27/03/2020","12:07:02.00",-38.0653171,-54.0092389
"27/03/2020","12:07:03.00",-38.0653171,-54.0092389
"27/03/2020","12:07:04.00",-38.0653171,-54.0092389
"27/03/2020","12:07:05.00",-38.0653171,-54.0092389
"27/03/2020","12:07:06.00",-38.0653171,-54.0092389
"27/03/2020","12:07:07.00",-38.0653171,-54.0092389
